Label,X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z)
10,198.451771,0.680672,-56.848844,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505
16,809.930556,0.696091,-22.70494,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718
14,973.360544,0.746095,-8.96694,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
0,355.679365,0.746279,38.524896,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632
3,1050.259648,0.749272,-11.922828,0.80981,0.680050285,-0.839765235,-1.23,1.470479495,-1.190809
3,1041.307251,0.749067,-15.005999,1.325366,-3.878594025,2.926432416,-0.755,-0.257825386,0.341713
16,434.166207,0.696091,-59.599882,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718
-1,449.745433,0.746216,-1.283806,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491
8,-390.670756,0.746084,-2.709655,-1.594318,463.5993021,290.7822041,0.627,0.002157035,0.003439
2,-164.39946,0.745906,48.740153,-1.728945,-24.95662404,-14.43459684,0.578,-0.040069522,-0.069278
4,-138.731445,0.658266,68.913771,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813
17,642.750532,0.749372,4.837713,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177
5,-293.491714,0.754196,159.061295,-1.60588,-8.438720119,-5.25488836,0.623,-0.118501382,-0.190299
6,1052.513775,0.746574,0.697842,-1.696377,50.54156239,29.79382672,0.589,0.019785696,0.033564
9,332.439067,0.749374,-30.841496,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619
16,-58.719498,0.696091,-107.994547,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718
6,1022.689265,0.744144,-2.86604,-1.063141,0.997997698,0.938725624,0.941,1.002006319,1.065274
4,58.998914,0.658266,57.451389,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814
14,-233.966264,0.746095,-165.454249,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649
-1,-384.074479,0.746216,-3.61461,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491
7,364.328363,0.744838,55.253286,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049
14,417.990212,0.746095,-80.951102,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865
15,1021.771714,0.744699,27.20728,0.108702,0.062415522,-0.574189273,-9.2,16.02165554,-1.741586
4,761.282603,0.658266,16.740172,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813
16,-180.72091,0.696091,-119.973424,-1.626686,10.18467433,6.260995874,0.615,0.098186743,0.159719
4,-87.594283,0.658266,65.949362,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813
9,424.733614,0.749374,-26.792973,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619
4,-375.666961,0.658266,82.648866,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814
1,-136.137123,0.745381,83.10016,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194
4,-447.258988,0.658266,86.799039,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813
16,-205.121193,0.696091,-122.3692,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718
6,1020.730569,0.744897,-43.329139,0.624298,-0.460959016,0.738363756,-1.6,-2.169390259,1.354346
0,707.766397,0.746279,19.030839,-1.56485,-18.05964293,-11.54081409,0.639,-0.05537208,-0.086649
13,767.330925,0.744162,-17.271756,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984
4,815.828909,0.658266,13.578135,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814
5,628.283798,0.754196,49.829484,-1.605881,-8.438725374,-5.25488836,0.623,-0.118501309,-0.190299
0,-57.436063,0.746279,61.397912,-1.564813,-18.06275972,-11.54307877,0.639,-0.055362526,-0.086632
